OBJECTID_1,Q1,I6H2Y,Q3,Q2,Q5,Q4,Q7,Q6,Q9,Q8,LC11SNOIC,Shape_Leng,RCN,BSLDEM10M,HydroID,SSURGOA,D50,D10,SSURGOB,OUTLETELEV,CSL1085LFP,LAT_OUT,LC11DEV,Edited,LFPLENGTH,LC11SHRUB,LC11FOREST,D75,D90,LC11GRASS,V7D10Y,RELATEDOID,Q11,RELIEF,ELEV,Q12,PK25,M7D2Y,LC11CRPHAY,STORNHD,Q10,PK2,PK500,Name,OBJECTID,PK5,I24H2Y,Descript,I6H100Y,V7D50Y,MINBELEV,GlobalWshd,LC11WATER,Qa,DRNAREA,DrainID,LC11BARE,FID_1,TOC,SSURGOC,LONG_OUT,M7D10Y,PK200,LC11WETLND,EL7500,I24H100Y,PK100,RUNCO_CO,D25,ORIG_FID,WARNINGMSG,HUCID,ELEVMAX,LC11IMP,PRECIP,PK10,V7D2Y,SSURGOD,PK50,STATSCLAY,M7D50Y,SiteID,Shape_Length,Shape_Area,CatchmentArea_sqKm
1,0,1.032,0,0,0,0,0,0,0,0,0,37800,97.4626,45,2,0,0,0,0.0034,9553.1234,265.8174,38.9633,1.0428,0,8.4796,0.5953,36.4225,0,0,33.737,0,,0,0,11084.366,0,0,0,0,0.2109,0,0,0,ags101,1,0,1.8134,W14020001,1.9795,0,9549.3174,1,0.1344,0,17.0083,2,19.0438,0,0.8084,0,-106.9944,0,0,8.9314,100,3.73,0,0.3472,0,1,,37800,13341.0377,1.3794,45.989,0,0,0,0,16.6934,0,10118,124862.827642538,474050210.421931,44.0408818241882
2,0,0.8683,0,0,0,0,0,0,0,0,0,121840,68.034,29,2,6,0,0,18.6426,8171.7896,107.7241,38.4052,0.1375,0,30.1387,3.3422,69.0439,0,0,19.1096,0,,0,0,10315.234,0,0,0,0,0.1107,0,0,0,ags101,1,0,1.4876,W14020002,2.016,0,8171.7896,1,0.0227,0,91.7115,2,4.0606,0,7.9862,70,-107.408,0,0,1.4867,100,3.1671,0,0.4235,0,1,,121840,14317.4305,2.8485,23.6166,0,0,3,0,29.7473,0,10231,403902.240544603,2556032434.9012,237.464133396507
3,0,0.7592,0,0,0,0,0,0,0,0,0,75380,75.2588,15,2,0,0,0,0,7469.8197,138.7703,38.4465,0.2773,0,17.662,33.2809,51.2869,0,0,12.9132,0,,0,0,9172.2649,0,0,0,0,0.0843,0,0,0,ags101,1,0,1.2147,W14020002,1.7197,0,7469.8197,1,0,0,27.129,2,0,0,5.9337,94,-107.3442,0,0,0.2122,99,2.5681,0,0.3969,0,1,,75380,11112.4186,2.8078,16.6372,0,0,6,0,35.6221,0,10232,250018.845037073,756059851.59853,70.2405395973298
4,0,0.8901,0,0,0,0,0,0,0,0,0,241420,71.9336,41,2,6,0,0,19.3375,7649.2247,52.2275,38.3518,0.4591,0,56.5755,6.776,52.2514,0,0,24.7462,0,,0,0,10735.9894,0,0,0,0,0.2362,0,0,0,ags101,1,0,1.5434,W14020002,2.1148,0,7649.2247,1,0.1934,0,370.7941,2,13.6025,0,10.0036,32,-107.2366,0,0,1.3106,100,3.2652,0,0.3816,0,1,,241420,14227.2686,1.4634,27.0468,0,0,37,0,23.1075,0,10240,797216.998488066,10335673876.9227,960.219364488326
5,0,0.9506,0,0,0,0,0,0,0,0,0,32520,74.159,54,2,0,0,0,19.9883,8976.7173,413.6024,38.6956,0,0,7.6548,0.0438,60.3925,0,0,22.5854,0,,0,0,10736.6456,0,0,0,0,0.0196,0,0,0,ags101,1,0,1.6482,W14020002,1.9406,0,8976.7173,1,0,0,9.4368,2,12.7314,0,1.6533,19,-107.0713,0,0,2.273,100,3.4397,0,0.4035,0,1,,32520,12965.4289,0.2001,29.4484,0,0,57,0,14.6416,0,10267A,107645.290393974,263080673.84463,24.4410921296854
6,0,0.9223,0,0,0,0,0,0,0,0,0,28320,64.7368,34,2,10,0,0,41.9462,8909.0303,469.9743,38.7958,0,0,5.3238,0.114,77.2483,0,0,16.4204,0,,0,0,10205.3533,0,0,0,0,0.1315,0,0,0,ags101,1,0,1.6624,W14020002,1.8111,0,8907.0289,1,0.0344,0,7.9603,2,3.9476,0,2.0091,5,-107.0878,0,0,1.1171,100,3.5112,0,0.4399,0,1,,28320,12061.9071,1.2011,32.1417,0,0,38,0,27.1506,0,10268B,93663.5904483805,221912473.568999,20.6164258741007
7,0,0.9075,0,0,0,0,0,0,0,0,0,140540,64.0652,28,2,17,0,0,17.1264,8824.4789,119.9543,38.1067,0.5196,0,24.4201,0.2872,56.5183,0,0,31.8718,0,,0,0,11051.4904,0,0,0,0,0.1474,0,0,0,ags101,1,0,1.5467,W14020002,2.1724,0,8823.9539,1,0.0577,0,171.4033,2,5.8099,0,7.6194,45,-107.035,0,0,4.368,100,3.1669,0,0.385,0,1,,140540,14012.3303,0.8007,25.1507,0,0,20,0,24.268,0,10283,463344.742551946,4778881488.88703,443.974394013132
8,0,0.838,0,0,0,0,0,0,0,0,0,234840,70.6769,19,2,4,0,0,15.9408,7997.7654,57.4674,38.4372,0.2909,0,51.3669,14.0103,48.0527,0,0,31.6694,0,,0,0,10045.0109,0,0,0,1,0.1298,0,0,0,ags101,1,0,1.3522,W14020003,1.9121,0,7997.7654,1,0.0585,0,379.1179,2,1.6849,0,14.079,56,-106.7624,0,0,2.3627,100,2.7619,0,0.3696,0,1,,234840,14011.8382,1.8767,19.0905,0,0,22,0,20.4898,0,10322,774246.048458881,10571659140.279,982.143200544576
9,0,0.8893,0,0,0,0,0,0,0,0,0,153600,67.4748,20,2,7,0,0,21.9272,9019.2391,83.9523,38.2239,0.043,0,29.4449,1.4857,49.0119,0,0,40.9694,0,,0,0,10539.4904,0,0,0,1,0.1379,0,0,0,ags101,1,0,1.4836,W14020003,2.0523,0,9017.7298,1,0.0707,0,162.2097,2,3.7754,0,9.5799,49,-106.744,0,0,3.7762,100,3.015,0,0.3627,0,1,,153600,14011.8382,1.5856,22.0178,0,0,21,0,19.4329,0,10324,506950.925441154,4523320485.58567,420.231904931123
10,0,1.0502,0,0,0,0,0,0,0,0,0,26000,70.7543,43,2,12,0,0,12.5148,10427.477,390.4317,38.0239,0,0,5.8659,0,40.9177,0,0,38.1661,0,,0,0,11986.1816,0,0,0,0,0.209,0,0,0,ags101,1,0,1.861,W14020003,2.5208,0,10427.477,1,0,0,5.56,2,15.5692,0,1.646,19,-106.8419,0,0,4.9413,100,3.77,0,0.3491,0,1,,26000,13808.3834,1.5244,30.93,0,0,57,0,18.396,0,10329,85892.9081354419,155013583.310371,14.401290735932
11,0,1.0799,0,0,0,0,0,0,0,0,0,44740,69.3194,36,2,1,0,0,15.2858,8172.9379,373.5956,37.5987,0,0,9.2461,0.1419,85.128,0,0,10.6353,0,,0,0,10143.3424,0,0,0,0,0.0268,0,0,0,ags101,1,0,1.9159,W14030002,2.7672,0,8172.9379,1,0,0,19.5874,2,0.3367,0,2.6912,80,-108.1125,0,0,0.3637,100,3.8832,0,0.465,0,1,,44740,11824.5924,2.2748,34.09,0,0,2,0,23.9617,0,10767B,148368.195959071,545716157.386481,50.698892793691
12,0,1.0609,0,0,0,0,0,0,0,0,0,61560,56.0268,31,2,30,0,0,35.735,8243.8403,209.3663,37.7463,0,0,13.4711,0.2312,71.9377,0,0,14.614,0,,0,0,10152.2011,0,0,0,0,0.0193,0,0,0,ags101,1,0,1.7858,W14030002,2.5056,0,8243.8403,1,0.0049,0,35.4749,2,4.5406,0,5.5189,31,-108.2364,0,0,0.2251,100,3.7639,0,0.4432,0,1,,61560,13292.9383,2.8198,32.1255,0,0,1,0,22.2705,0,10769,202902.276411408,988103456.228026,91.7981821104519
13,0,1.0463,0,0,0,0,0,0,0,0,0,119480,65.2599,31,2,12,0,0,28.8879,7943.8257,149.9722,37.7054,0,0,24.4726,0.6651,73.3849,0,0,13.4028,0,,0,0,9960.0986,0,0,0,1,0.6974,0,0,0,ags101,1,0,1.7745,W14030002,2.4851,0,7943.3008,1,0.704,0,131.2892,2,5.0842,0,7.0328,51,-108.2461,0,0,0.2925,100,3.7219,0,0.448,0,1,,119480,14238.2272,1.5805,31.9544,0,0,3,0,24.3771,0,10770A,395199.725527178,3657213184.16581,339.767581806052
14,0,1.0112,0,0,0,0,0,0,0,0,0,58600,68.8767,53,2,19,0,0,24.3158,8638.5446,386.6664,37.9482,2.5399,0,11.5488,0.2075,40.7528,0,0,23.7126,0,,0,0,11173.6092,0,0,0,0,0.5003,0,0,0,ags101,1,0,1.8544,W14030003,2.2911,0,8623.5833,1,0.2347,0,42.8843,2,27.2756,0,2.6815,26,-107.877,0,0,2.1578,100,3.8621,0,0.3718,0,1,,58600,13796.5061,3.45,36.6722,0,0,27,0,14.9429,0,10814,194028.630176939,1195029950.91614,111.022359420153
39,0,1.0216,0,0,0,0,0,0,0,0,0,58540,69.9814,55,2,21,0,0,18.4294,8637.6916,405.7035,37.9486,1.3168,0,11.0264,0.1524,36.6194,0,0,25.8295,0,,0,0,11291.2659,0,0,0,0,0.5481,0,0,0,ags101,1,0,1.8784,W14030003,2.3136,0,8637.0354,1,0.2639,0,37.0865,2,30.4774,0,2.4624,25,-107.869,0,0,2.3613,100,3.9122,0,0.361,0,1,,58540,13796.5061,2.2125,37.5196,0,0,30,0,13.9377,0,10815,193871.368973755,1033451295.93493,96.0111511285152
15,0,1.0499,0,0,0,0,0,0,0,0,0,18780,73.4402,59,2,33,0,0,24.8027,8980.9498,1109.1299,37.9312,0,0,3.5008,0,9.483,0,0,30.3288,0,,0,0,12006.6879,0,0,0,0,0.0597,0,0,0,ags101,1,0,1.9458,W14030003,2.3679,0,8980.9498,1,0,0,3.8166,2,59.4091,0,0.8632,0,-107.7789,0,0,0.7021,100,4.068,0,0.294,0,1,,18780,13492.5543,1.7007,41.0114,0,0,42,0,11.1262,0,10818,62525.845172225,106342733.926179,9.87960278202477
16,0,0.8231,0,0,0,0,0,0,0,0,4,185000,66.6247,16,2,9,0,0,22.2129,8052.7221,30.6995,40.741,0.6821,0,51.1727,16.733,44.3482,0,0,12.4963,0,,0,0,9274.9274,0,0,0,9,0.3642,0,0,0,ags101,1,0,1.3116,W10180001,1.9171,0,8052.7221,1,0.3296,0,182.152,2,2.9462,0,17.0434,25,-106.2821,0,0,10.1123,100,3.1982,0,0.388,0,1,,185000,12930.7815,3.3653,24.3227,0,0,7,0,14.0645,0,120,610342.24512039,5083321035.64062,472.257866536539
17,0,0.9158,0,0,0,0,0,0,0,0,3,94100,98,42,2,0,0,0,0,8079.9544,164.9832,39.641,3.4466,0,17.4348,1.9116,57.8258,0,0,20.7,0,,0,0,10514.2595,0,0,0,0,0.2264,0,0,0,ags101,1,0,1.4555,W14010003,2.1199,0,8072.5722,1,0.1068,0,77.0056,2,9.5512,0,1.2668,0,-106.3944,0,0,1.5044,100,3.3416,0,0.4078,0,1,,94100,13331.5556,4.0901,28.7974,0,0,0,0,12.8049,0,12554A,309519.113568643,2147520411.1605,199.511972705953
18,0,0.9097,0,0,0,0,0,0,0,0,2,106380,97.2454,40,2,0,0,0,0,8058.1029,163.8728,39.6402,3.1054,0,17.7376,2.2307,60.8873,0,0,19.2308,0,,0,0,10430.5612,0,0,0,0,0.2173,0,0,0,ags101,1,0,1.446,W14010003,2.0959,0,8041.5667,1,0.1096,0,91.1785,2,8.3702,0,1.5671,0,-106.3996,0,0,1.6742,100,3.3126,0,0.4138,0,1,,106380,13331.5556,4.3953,28.3177,0,0,0,0,12.4858,0,12554B,349595.008308347,2542821765.9214,236.23681717859
19,0,0.9229,0,0,0,0,0,0,0,0,3,68460,98,42,2,0,0,0,0,8377.3114,229.4383,39.6415,3.3453,0,11.7551,0.4855,55.6398,0,0,22.0694,0,,0,0,10709.8071,0,0,0,0,0.2993,0,0,0,ags101,1,0,1.4657,W14010003,2.1637,0,8375.9334,1,0.1453,0,41.8098,2,12.1773,0,0.9242,0,-106.3053,0,0,1.7045,100,3.3772,0,0.3986,0,1,,68460,13331.5556,3.6108,29.2828,0,0,0,0,14.3461,0,12555,224976.706564844,1165984678.93931,108.323954562271
38,0,0.8965,0,0,0,0,0,0,0,0,1,181720,72.0443,45,2,1,0,0,0.8794,7606.5717,133.6574,39.2178,1.6204,0,29.6243,0.545,48.5306,0,0,26.337,0,,0,0,11010.4451,0,0,0,0,0.1998,0,0,0,ags101,1,0,1.4941,W14010004,1.7908,0,7606.5717,1,0.0903,0,287.7006,2,18.6624,0,5.6732,2,-106.8549,0,0,2.705,100,3.1808,0,0.3784,0,1,,181720,14258.6678,2.2211,32.4269,0,0,0,0,13.8369,0,12783B,599794.839556625,8020494472.73087,745.131299342112
20,0,0.8515,0,0,0,0,0,0,0,0,2,110160,98,43,2,0,0,0,0,8077.5265,173.2912,39.1482,1.0717,0,20.535,0.1444,40.3014,0,0,34.4111,0,,0,0,11421.62,0,0,0,0,0.3196,0,0,0,ags101,1,0,1.3805,W14010004,1.7413,0,8076.6078,1,0.1703,0,93.0311,2,19.1981,0,1.4271,0,-106.7829,0,0,2.6631,100,2.9705,0,0.3505,0,1,,110160,13971.4819,1.2584,28.9109,0,0,0,0,11.6778,0,12786B,362532.328836976,2593629103.92881,240.956992214468
21,0,0.9252,0,0,0,0,0,0,0,0,0,346560,73.6765,21,2,0,0,0,15.5782,6545.2667,49.7826,40.4915,1.5321,0,74.7466,16.0555,60.3554,0,0,7.8892,0,,0,0,8688.1205,0,0,0,7,0.7018,0,0,0,ags101,1,0,1.4737,W14050001,2.1163,0,6544.7745,1,0.5328,0,634.2946,2,0.4715,0,16.6378,21,-106.9481,0,0,3.5609,82,3.1905,0,0.43,0,1,,346560,12349.9789,2.8531,31.5224,0,0,5,0,20.0322,0,12805B,1142812.15254893,17689979045.2101,1643.45940466737
22,0,0.8508,0,0,0,0,0,0,0,0,0,169400,74.6871,18,2,1,0,0,16.208,7195.1672,99.0009,40.2692,0.4013,0,39.7043,23.6875,48.0351,0,0,11.502,0,,0,0,8993.5816,0,0,0,8,0.8077,0,0,0,ags101,1,0,1.3254,W14050001,1.819,0,7195.1672,1,0.4974,0,207.9411,2,1.2506,0,10.527,23,-106.8811,0,0,3.0886,97,2.8419,0,0.4016,0,1,,169400,12349.9789,2.1217,28.6664,0,0,9,0,22.9438,0,12809,558688.902310378,5798363573.07598,538.687757712897
23,0,0.8933,0,0,0,0,0,0,0,0,0,269420,73.996,21,2,0,0,0,13.367,6804.4001,65.086,40.3989,0.4095,0,58.2964,17.6476,59.994,0,0,7.5784,0,,0,0,8861.6198,0,0,0,7,0.9382,0,0,0,ags101,1,0,1.4096,W14050001,1.9726,0,6803.0221,1,0.7183,0,410.7544,2,0.658,0,13.515,20,-106.8339,0,0,3.1985,90,3.0311,0,0.4257,0,1,,269420,12349.9789,1.7556,29.9704,0,0,6,0,19.6035,0,12811,889050.93965258,11454869872.5237,1064.19649074357
24,0,0.8718,0,0,0,0,0,0,0,0,0,145820,75.2437,18,2,0,0,0,14.0044,7673.0448,130.915,40.183,0.4088,0,26.5704,19.341,45.2737,0,0,18.6504,0,,0,0,9460.1726,0,0,0,7,1.1398,0,0,0,ags101,1,0,1.3687,W14050001,1.813,0,7672.1589,1,0.7161,0,101.2406,2,2.3315,0,7.513,15,-106.9154,0,0,3.9581,100,2.8926,0,0.3871,0,1,,145820,12349.9789,1.9931,32.5254,0,0,9,0,21.436,0,12815,480687.721574889,2822963754.34442,262.262963639215
25,0,0.8224,0,0,0,0,0,0,0,0,4,188340,66.6398,16,2,9,0,0,22.2502,8029.8535,30.3391,40.7453,0.8116,0,52.5064,16.6903,44.1768,0,0,12.4709,0,,0,0,9270.2684,0,0,0,9,0.3628,0,0,0,ags101,1,0,1.3102,W10180001,1.9179,0,8029.7879,1,0.3298,0,182.8585,2,2.9348,0,17.391,25,-106.2967,0,0,10.1186,100,3.1944,0,0.3881,0,1,,188340,12930.7815,3.4857,24.2745,0,0,7,0,14.0607,0,12940,621234.423478543,5103040834.43019,474.089903120418
26,0,0.9259,0,0,0,0,0,0,0,0,11,83040,63.6961,30,2,12,0,0,14.8326,8745.1771,103.8394,40.5534,0.7869,0,17.9378,0.9884,67.5716,0,0,6.978,0,,0,0,10175.2994,0,0,0,0,0.2455,0,0,0,ags101,1,0,1.4995,W10180001,2.1503,0,8745.1771,1,0.1017,0,60.2294,2,8.2275,0,5.8062,1,-106.0437,0,0,4.4883,100,3.6949,0,0.4379,0,1,,83040,12930.7815,2.7319,34.0573,0,0,6,0,12.3698,0,12946,273313.786082012,1680715081.64749,156.144165034935
27,0,1.2517,0,0,0,0,0,0,0,0,0,75820,71.247,33,2,1,0,0,11.3775,8137.2407,258.8186,37.4277,0,0,16.3635,0.0595,54.2086,0,0,35.6279,0,,0,0,10948.8279,0,0,0,0,0.3953,0,0,0,ags101,1,0,2.2235,W14080104,2.791,0,8134.419,1,0.175,0,52.5269,2,2.92,0,4.212,44,-107.6752,0,0,1.1314,100,4.2581,0,0.3847,0,1,,75820,13304.9796,0.6522,37.7366,0,0,30,0,19.8645,0,138A,250391.044920468,1464323725.83213,136.040669836066
28,0,1.1939,0,0,0,0,0,0,0,0,4,202880,70.4746,28,2,9,0,0,22.9956,5067.5043,104.6042,40.0498,8.1374,0,48.3989,7.8537,59.9013,0,0,11.1563,0,,0,0,8372.029,0,0,0,1,1.3614,0,0,0,ags101,1,0,1.917,W10190005,3.0378,0,5067.4715,1,1.1319,0,310.1119,2,2.758,0,11.1194,28,-105.1459,0,0,3.151,68,4.9616,0,0.4313,0,1,,202880,13505.0877,10.193,24.8628,0,0,30,0,15.9916,0,5574,667012.663742728,8652249133.02524,803.823462586044
29,0,1.177,0,0,0,0,0,0,0,0,6,151280,70.3878,31,2,12,0,0,21.7987,5193.2323,167.0839,40.0271,9.0021,0,35.965,7.9304,57.7016,0,0,12.7214,0,,0,0,8658.0994,0,0,0,0,0.8845,0,0,0,ags101,1,0,1.8943,W10190005,3.0094,0,5191.9527,1,0.6507,0,152.2493,2,4.1159,0,8.3529,26,-105.2241,0,0,1.6563,72,4.8965,0,0.4276,0,1,,151280,13505.0877,10.8623,26.0521,0,0,29,0,14.4412,0,5577,497563.793310335,4247824712.43469,394.637407720361
30,0,1.1265,0,0,0,0,0,0,0,0,15,83480,70.4647,34,2,19,0,0,10.4858,7748.7375,190.4385,39.9806,2.6045,0,18.4562,1.6751,53.9432,0,0,16.2871,0,,0,0,10122.4096,0,0,0,0,1.5642,0,0,0,ags101,1,0,1.8035,W10190005,2.6895,0,7748.7375,1,1.1162,0,41.2054,2,7.959,0,4.6675,32,-105.4546,0,0,1.6419,100,4.6377,0,0.4088,0,1,,83480,13395.6008,3.7251,31.7153,0,0,15,0,13.342,0,5580,274585.433642979,1149600962.21966,106.80185138411
31,0,1.1661,0,0,0,0,0,0,0,0,0,72520,70.9265,30,2,0,0,0,0.0788,7083.0882,296.5911,37.3537,0,0,12.8279,0.2515,83.4351,0,0,4.1942,0,,0,0,9325.3892,0,0,0,0,0.0399,0,0,0,ags101,1,0,1.9938,W14080102,3.064,0,7082.4976,1,0.0126,0,55.2417,2,0.0913,0,3.6678,84,-107.3247,0,0,0.0101,98,4.0009,0,0.4762,0,1,,72520,12549.759,0.6911,30.7277,0,0,1,0,28.1769,0,9240,239236.618606837,1540521267.25324,143.119681390631
32,0,0,0,0,0,0,0,0,0,0,0,133100,0,18,2,0,0,0,0,6531.4209,0,37.1726,0,0,0,0,0,0,0,0,0,,0,0,7590.6589,0,0,0,0,0,0,0,0,ags101,1,0,0,W14080102,0,0,0,1,0,0,107.2163,2,0,0,0,0,-107.2953,0,0,0,57,0,0,0,0,1,,133100,0,0,0,0,0,0,0,0,0,9245,438902.95854397,2991172966.48342,277.890173311709
33,0,1.197,0,0,0,0,0,0,0,0,0,73800,62.8608,40,2,14,0,0,1.331,7777.6759,158.1607,37.4559,0.0045,0,19.2226,1.8053,62.7819,0,0,17.141,0,,0,0,9852.613,0,0,0,2,1.2896,0,0,0,ags101,1,0,2.1628,W14080102,2.9252,0,7777.3478,1,1.1265,0,45.0908,2,3.1575,0,5.4297,31,-107.1988,0,0,3.4364,100,4.4172,0,0.428,0,1,,73800,12735.0371,0.8424,33.2616,0,0,8,0,19.3674,0,9274,243572.843956021,1257496331.66277,116.825699302649
34,0,1.1779,0,0,0,0,0,0,0,0,0,104440,74.8995,57,2,7,0,0,12.3678,7877.2542,193.876,37.474,0,0,20.7094,0.0475,44.32,0,0,26.7633,0,,0,0,11267.1177,0,0,0,0,0.579,0,0,0,ags101,1,0,2.1371,W14080101,2.7535,0,7877.2542,1,0.4093,0,80.4616,2,25.5248,0,3.4932,24,-107.5466,0,0,1.4697,100,4.0957,0,0.3649,0,1,,104440,14091.6977,0.0122,39.2482,0,0,44,0,16.3834,0,9372,345035.81194597,2243241245.6084,208.404764788632
35,0,1.0344,0,0,0,0,0,0,0,0,0,107560,70.8692,22,2,5,0,0,17.564,6594.5145,142.5726,37.3043,1.3898,0,26.6597,4.6119,68.12,0,0,6.3249,0,,0,0,8793.0469,0,0,0,11,0.5581,0,0,0,ags101,1,0,1.7911,W14080107,2.8105,0,6594.5145,1,0.4245,0,114.6303,2,3.3751,0,7.7019,64,-108.3581,0,0,0.3733,80,3.553,0,0.4494,0,1,,107560,13237.8831,3.4948,27.9405,0,0,10,0,29.2051,0,9717,355695.849723861,3193973888.88012,296.731070880682
36,0,1.3175,0,0,0,0,0,0,0,0,0,91680,58.995,42,2,10,0,0,39.2885,7844.3458,195.0237,37.0604,0,0,18.0365,0.9612,58.4543,0,0,21.2049,0,,0,0,10170.8372,0,0,0,1,0.1206,0,0,0,ags101,1,0,2.3455,W14080101,3.0242,0,7844.3458,1,0.071,0,77.4159,2,4.7325,0,5.5562,22,-106.6931,0,0,5.5071,100,4.6792,0,0.4155,0,1,,91680,12785.4004,1.0081,39.2456,0,0,3,0,18.9616,0,9853,302412.088441379,2160792407.92761,200.744986484538
37,0,1.2463,0,0,0,0,0,0,0,0,0,108040,65.3434,37,2,11,0,0,6.1621,7243.5619,110.7662,37.1437,0,0,22.0817,7.0193,58.8254,0,0,10.5942,0,,0,0,9529.5002,0,0,0,2,0.245,0,0,0,ags101,1,0,2.1853,W14080101,2.8824,0,7243.5619,1,0.083,0,92.805,2,4.9698,0,5.9163,55,-106.8855,0,0,3.2133,99,4.3453,0,0.4343,0,1,,108040,12837.2074,0.7252,34.7269,0,0,1,0,20.8986,0,9862,356673.700839762,2589899688.17503,240.610516767617
